Where are you living currently?,How long have you been in Wichita? (in months),What is your apartment name? (street name if housing),How many people are staying in your unit?,What is the size of your unit?,"Overall, how satisfied are you with your current living?","On a scale of responsiveness, how efficient is the management of your apartment complex? (in maintenance services etc.,)",What are your thoughts on the level of safety in the vicinity of your residence?,What is the total monthly rent of your unit?,"What was the total amount you paid initially, covering fees such as application fees, deposit fees, and others?",Are you paying rental insurance for your unit monthly?,"If yes, what is your monthly rental insurance?","What is the approximate total amount of monthly bills (electricity, parking, etc.,) not included in your rent?",Do your apartment require guarantor?,Is your apartment pet friendly?,What is your preferred mode of transportation when leaving your residence?,What is the duration of time it takes you to walk from your residence to the closest transit stop?,What is the duration of time it takes for transit to reach from your stop to the university?,"What is the approximate duration of time, in minutes, it takes for you to reach your closest grocery store?",What is the approximate duration of time it takes for you to reach your preferred nearby restaurant?,What type of laundry amenities are available in your accommodation?
House you rent,5,Other,5,2 bed 1 bath,5,5,5,900,800,No,0,150,No,Yes,Transit,18.0,10.0,14.0,10.0,In unit/ home
Apartment,9,21W,4,2 bed 1 bath,3,3,3,0,200,No,0,0,No,No,Transit,3.0,10.0,5.0,30.0,In the apartment complex
House you rent,9,Brickstone,6,2 bed 1.5 bath,3,3,3,1100,400,Yes,9,350,No,Yes,Transit,5.0,10.0,5.0,5.0,In unit/ home
Apartment,15,Tall oaks,4,2 bed 1.5 bath,3,5,5,0,300,No,0,0,No,Yes,Transit,3.0,5.0,5.0,5.0,In the apartment complex
House you rent,10,The Landing,4,2 bed 1 bath,4,4,5,950,300,Yes,40,250,No,Yes,Transit,5.0,5.0,5.0,15.0,In the apartment complex
House you rent,9,Other,5,2 bed 1 bath,5,3,5,800,800,No,0,450,No,Yes,Transit,10.0,7.0,11.0,7.0,In unit/ home
Apartment,15,21W,6,3 bed 2 bath,5,5,5,1200,300,No,0,800,No,Yes,Transit,1.1,4.0,5.0,5.0,In unit/ home
House you rent,9,21W,6,2 bed 1.5 bath,5,5,5,1047,1045,No,0,500,No,Yes,Transit,2.0,5.0,2.0,5.0,Need to go to other place for this facility
House you rent,5,Parc,5,2 bed 2 bath,5,4,5,1065,210,Yes,30,30,Don't know,Yes,Transit,5.0,15.0,5.0,10.0,In the apartment complex
Apartment,10,Brickstone,6,2 bed 1.5 bath,5,5,2,0,400,Yes,90,250,Yes,Yes,Transit,5.0,15.0,5.0,5.0,In the apartment complex
Apartment,4,The Landing,4,1 bed 1 bath,3,3,4,795,300,No,0,150,No,Yes,Transit,3.0,5.0,2.0,5.0,In the apartment complex
Apartment,5,Parc,5,2 bed 2 bath,5,5,4,1065,1000,Yes,20,30,Don't know,Yes,Transit,4.0,15.0,8.0,10.0,In unit/ home
Apartment,4,Parc,4,2 bed 2 bath,4,4,4,1069,1400,Yes,40,150,No,Yes,Transit,2.0,2.0,5.0,5.0,In the apartment complex
House you rent,10,21W,6,2 bed 2 bath,4,4,4,1050,200,Yes,0,200,Don't know,Yes,Transit,2.0,5.0,5.0,5.0,In the apartment complex
House you rent,3,21W,5,2 bed 2 bath,5,3,4,1045,1245,No,0,500,No,Yes,Transit,2.0,5.0,5.0,5.0,In the apartment complex
House you rent,3,21W,5,2 bed 2 bath,5,4,5,1045,200,No,0,450,No,Yes,Transit,2.0,6.0,5.0,5.0,In the apartment complex
Apartment,1,Tall oaks,4,2 bed 1 bath,5,5,5,825,250,Yes,0,400,Yes,Don't Know,Transit,2.0,5.0,7.0,30.0,In the apartment complex
Apartment,9,21W,5,2 bed 1 bath,3,4,3,757,200,No,0,360,Yes,Yes,Transit,5.0,5.0,5.0,10.0,In the apartment complex
Apartment,10,Tall oaks,2,1 bed 1 bath,3,3,3,720,1000,No,0,1000,No,Yes,Transit,5.0,15.0,10.0,10.0,In the apartment complex
Apartment,7,Brickstone,6,3 bed 2 bath,5,5,5,1143,300,No,0,60,Yes,Yes,Transit,3.0,10.0,4.0,7.0,In the apartment complex
Apartment,9,21W,6,2 bed 1 bath,5,5,5,1045,200,Yes,0,400,Don't know,Yes,Transit,2.0,5.0,5.0,10.0,In the apartment complex
Apartment,9,Tall oaks,2,1 bed 1 bath,5,5,5,690,1000,No,0,300,No,Yes,Transit,5.0,15.0,15.0,10.0,In the apartment complex
